Sr.No.,Name,Type,WaterRequirements,MinTemp,MaxTemp,CommonPlantDiseases,SoilType,Fertilisers,AreaRequired,Info,Images,Icons
1,Apple,Fruit,38 per week,21,24,Cedar Apple Rust,Loamy soil,Common granular 20-10-10,100 sq ft,"The apple is a pome (fleshy) fruit, in which the ripened ovary and surrounding tissue both become fleshy and edible. The apple flower of most varieties requires cross-pollinationfor fertilization. When harvested, apples are usually roundish, and some shade of red, green, or yellow in colour; they vary in size, shape, and acidity depending on the variety.",https://drive.google.com/file/d/1j9Mp7wuzBSAKgoI5cbkaUFNxLk7_hx3v/view?usp=sharing,https://drive.google.com/file/d/1jt020h1aORxSHeGtF2k1zsjpAe68YoGL/view?usp=sharing
2,Starfruit,Fruit,38 to 56 per week,20,35,Pests,Loamy soil,"manganese, iron, zinc, and magnesium",90 sq ft,"Star fruit, also known as carambola, is the fruit of the Averrhoa carambola tree. Although star fruit is most abundant in tropical areas, such as India, Malaysia and Indonesia, it is widely distributed around the world. Star fruit is dark green when it is unripe, but it turns glossy yellow as it ripens. Ripe star fruit is fleshy, crunchy, and juicy and has a sweet and slightly tart taste.",https://drive.google.com/file/d/1AYYtZ0itxMOaUJbWaFes7aZ0JWpTesYm/view?usp=sharing,https://drive.google.com/file/d/1OURzX-qYl6sA43EdBD2oPgBLaD-Ci9E4/view?usp=sharing
3,Apricot,Fruit, 8 per week,0,8,Brown Rot,Loamy soil,Nitrogen,81 sq ft,"Apricot is the fruit from an apricot tree. The fruit and fruit juice are used as medicine. Apricot is used for asthma, constipation, infertility, vaginal infections, and other conditions, but there is no good scientific evidence to support these uses. In manufacturing, apricot oil is used in cosmetics.",https://drive.google.com/file/d/1Tuxvm_fz4SA8uMT7Gn6rfBs5KIOKBvEn/view?usp=sharing,https://drive.google.com/file/d/10j5GuQ7H3_DlBRhLFteNRALjaaWfAUYF/view?usp=sharing
4,Avocado,Fruit,18 to 75 per week,16,26,Cankers,"Sandy soil, Loamy soil",Ammoniun nitrate,64 sq ft,"An avocado is a bright green fruit with a large pit and dark leathery skin. They’re also known as alligator pears or butter fruit. Avocados are a favorite of the produce section. Avocados are high in fat. But it's monounsaturated fat, which is a ""good"" fat that helps lower bad cholesterol, as long as you eat them in moderation.",https://drive.google.com/file/d/1u0drAvKmc0OEe_U8QNxJZK7fcWsGJ0j1/view?usp=sharing,https://drive.google.com/file/d/1nPIQAdm9cNkltEotb4OLuadUqtp33nYA/view?usp=sharing
5,Banana,Fruit,60 per week,15,20,Anthracnose,Loamy soil ,"150-200g N, 40-60g P2O5 and 200-300g K2O",81 sq ft,"Banana is one of the most important fruit crops of the world. The banana is grown in the tropics, and, though it is most widely consumed in those regions, it is valued worldwide for its flavour, nutritional value, and availability throughout the year.They may also be used to flavour muffins, cakes, or breads.",https://drive.google.com/file/d/1M0xuH6h4Z1DQDuQhTSw6QyITsJCGDGNS/view?usp=sharing,https://drive.google.com/file/d/1nDdZPr8QU019G9vDoh3JRjpYdEO53Trk/view?usp=sharing
6,Blueberry,Fruit,30 to 45 per week,2,7,Bacterial Canker,Silty soil,Ammonium sulfate,64 sq ft,"Blueberry is a fruit commonly eaten as a food. Some people also use the fruit and leaves to make medicine. Blueberry is used for aging, memory and thinking skills. Blueberry fruit is high in fiber which could help normal digestive function. It also contains vitamin C and other antioxidants. Blueberry also contains chemicals that might reduce swelling and destroy cancer cells.",https://drive.google.com/file/d/1nuG2fHYBKvEAxHW2LWphiaWBiSir_7cZ/view?usp=sharing,https://drive.google.com/file/d/1zMOCARx6IoHrkIAVqxJAb_7eT2CWfulX/view?usp=sharing
7,Cherry,Fruit,200 per week,7,10,Black Knot,Sandy soil,Low nitrogen,144 sq ft,"The fruit is a fleshy drupe (stone fruit) that is generally heart-shaped to nearly globular, about 2 cm in diameter, and varies in colour from yellow through red to nearly black. The acid content of the sweet cherry is low. The higher acid content of the sour cherry produces its characteristic tart flavour.",https://drive.google.com/file/d/156F7OUcWKUzJobI0thUDfxaMwG6zXhOA/view?usp=sharing,https://drive.google.com/file/d/1gOpOpjI3Xw1VhtmCl7wOItUY8JPu0M2z/view?usp=sharing
8,Custard Apple,Fruit,50 to 100 per week,18,30,"Insects, Mit Pests","Sandy soil, Loamy soil","250 g N, 125 g P2O5, and 125 g K2O",50 sq ft,"Custard apple is a sweet and fragrant fruit. When the fruit gets ripened, its colour turns brown or yellowish, with red borders.There have been immense proven benefits of eating custard apple in various dishes and desserts. The beneficial nutrients in custard apple help us to fight against various deadly diseases and even offers protection against some of them.",https://drive.google.com/file/d/1rId_o6Hw6QgYhTgJ4MYf8-7Uzc5zAkft/view?usp=sharing,https://drive.google.com/file/d/1ILxKVgSi6v7ikDHl53f5r8RXNaFsjAbY/view?usp=sharing
9,Cantaloupe,Fruit,102 per week,15,18,Powdery Mildew,Loamy soil,Sulphur,6 sq ft,"The cantaloupe is a juicy, orange summer fruit that’s related to the watermelon and honeydew melon. Eating cantaloupes has a wide range of both immediate and potentially long-term health benefits. Being a strong source of fiber, B vitamins and electrolytes, and having a low glycemic load makes cantaloupe a great food for maintaining energy within cells and controlling blood glucose levels.",https://drive.google.com/file/d/1i5koUyRDobhAQQA8ewWGDjnfSIbt2ehT/view?usp=sharing,https://drive.google.com/file/d/19__q36RNgI-r3os66FFbwp2QjqLCEMmK/view?usp=sharing
10,Guava,Fruit,140 per week,4,9,Guava Wilt,Sandy soil,6-6-6-2 fertilizer,180 sq ft,"Guavas are tropical fruits with yellowish-green skin, and they grow on trees in Central America. People use guava leaf tea as a treatment for diarrhea in several countries, including India and China. In other countries, such as Mexico, people have traditionally used the flesh of the fruit to heal wounds.",https://drive.google.com/file/d/1uBKTfT9GikU75c3ulGurhntn7h4R8iPc/view?usp=sharing,https://drive.google.com/file/d/1acHMNd8macSjiUZyGBnLB8E1IvA6C-Ew/view?usp=sharing
11,Dates,Fruit,50 to 60 per week,7,32,Bayoud Disease,"Sandy soil, Loamy soil",Manure,42 sq ft,"The date is the fruit of the date palm. It is a berry of golden yellow colour or reddish-brown when ripe. Its meat is soft, aromatic and sweet, with a stone inside it of elongate shape and with a longitudinal furrow. The optimal relative moisture of this fruit is between 70-75%. They have a great nutritional value that lies on its easily assimilated sugar content and proteins, calcium, phosphorus, iron and vitamins of the B and A group.",https://drive.google.com/file/d/1CF8_G4BuIT-LgubFzcTPINzsioSiowmF/view?usp=sharing,https://drive.google.com/file/d/1DjOPFFoNulTSmk7QTqnnrqelaYIldPhV/view?usp=sharing
12,Jamun,Fruit,40 per week,28,32,Anthracnose,Loamy soil,Rotten farm yard manure,120 sq ft,"Jamun fruits are small shapes with curved, blunt ends. The fruit’s skin is thin, smooth, glossy, and taut, appearing in several shades depending on maturity. Underneath the surface, the flesh ranges in color from pink to white and is aqueous and succulent, encasing a hard and rough, green-purple seed that should be discarded before consumption. Jamun fruits have a subtly sweet, tart, and sour flavor.",https://drive.google.com/file/d/1mq1DvmwqSO2G_zgqsn5zHW6J8B2-cur6/view?usp=sharing,https://drive.google.com/file/d/1eNGfXLn34mGkDrbu45Ma7tYcqOs8GcVT/view?usp=sharing
13,Dragon Fruit,Fruit,80 per week,30,36,Anthracnose,Loamy soil,Bio basis 8-3-9,70 sq ft,"Dragon fruit is the fruit of a variety of cactus species. It has a unique appearance, sweet taste, and crunchy texture. The dragon fruit contains multiple antioxidants that are beneficial for good health. Dragon fruit also contains many vitamins and minerals that are important for a healthy body.",https://drive.google.com/file/d/1Tz2QsHNGQmTL5i9hqFH9vUexk4cR0g_Q/view?usp=sharing,https://drive.google.com/file/d/1rMT0vncSr9f7Epyk-ARF8sd7wy-eqdf7/view?usp=sharing
14,Grape Fruit,Fruit,30 to 40 per week,20,30,Downy Mildew,Loamy soil,Kalibrate liquid,144 sq ft,Grapefruit is a citrus fruit with a flavor that can range from bittersweet to sour. It contains a range of essential vitamins and minerals. People can consume the fruit whole or as a juice or pulp.The nutrients grapefruit contains may help promote healthy skin and protect against various conditions. They may also play a role in weight maintenance.,https://drive.google.com/file/d/1xI7v4h2qTkOFpPWm4gS2ITPqWcsiN0dT/view?usp=sharing,https://drive.google.com/file/d/1MU9rsSwYH7R2doWu0uVIP9Sp2_B8H2j7/view?usp=sharing
15,Grapes,Fruit,20 to 30 per week,16,20,Pests,Loamy soil,Nitrogen,100 sq ft,"The grape is a fruit that has a white or purple flesh of sweet taste, eaten raw or in juice, although it is chiefly used for making wine. They are also used to make preserves. Grapes contain such minerals as calcium and phosphorus and are a source of vitamin A. All grapes contain sugar (glucose and fructose) in varying quantities depending upon the variety.",https://drive.google.com/file/d/18p7AVWDTeoxpjUb3l922KQMIIAHciHxV/view?usp=sharing,https://drive.google.com/file/d/1HwigFYl5fRJqjiycDP0eCiyytmyDqx-n/view?usp=sharing
16,Honeydew Melon,Fruit,40 to 50 per week,15,18,Sudden Wilt,"Sandy soil, Loamy soil",Phosporous and potassium heavy fertilizer,9 sq ft,"Honeydew melons are large, oval melons with a smooth rind and pale center. Despite their name, honeydew melons are not loaded with sugar. If you're concerned about the carb count of this sweet-tasting melon, keep in mind that honeydews have a high percentage of water that dilutes their natural sugars. Honeydew melons also provide some fiber and several essential micronutrients, including vitamin C and potassium.",https://drive.google.com/file/d/1BKhtMkbHJb-nd9jVo57HlxfKq-rxAj_t/view?usp=sharing,https://drive.google.com/file/d/1fg48bjXYvcaXwKcxMSYf6XHM8DfFya8H/view?usp=sharing
17,Honey Berry,Fruit,80 per week,30,32,Pests,Loamy soil,Nitrogen,40 sq ft,"Honeyberries, also known as Haskaps, are stately medium-sized shrubs with delicious blue berries. Honeyberries are very tasty, with a similar color and flavor to blueberries and can be used in all of  the same ways. They can be used alone or with other berries to make pastries, jams, juice, ice cream, yogurt, sauces, candies and wine. The berries can be eaten fresh or frozen for later use.",https://drive.google.com/file/d/1_zK_IKVxyXWZTOg3trBKKVQrfdHy1L8Q/view?usp=sharing,https://drive.google.com/file/d/1jdnph6cGG2IYCFj7o-1FQRjlX3DLgHO8/view?usp=sharing
18,Kiwi,Fruit,200 per week,1,7,"Phytophthora Crown, Root Rot",Silty soil,High nitrogen fertilizer,64 sq ft,"The kiwifruit, or Chinese gooseberry, originally grew wild in China. Kiwis are a nutrient-dense food rich in nutrients and low in calories. The kiwifruit, or Chinese gooseberry, originally grew wild in China. Kiwis are a nutrient-dense food — they are rich in in nutrients and low in calories.",https://drive.google.com/file/d/1AVGKNEL93HQFgw8r_rVMKJFPH-usOeYO/view?usp=sharing,https://drive.google.com/file/d/13NCY8ewHBnxTVx6VFXtyOIHmTxDxpAje/view?usp=sharing
19,Kiwano,Fruit,50 per week,20,35,Pests,Silty soil,"Nitrogen, Phosporous, Potassium",35 sq ft,"Kiwano melon is an exotic, peculiar-looking fruit from the central and southern regions of Africa. When ripe, the thick outer skin of a kiwano melon is bright orange and covered in small spiny projections or horns. The inner flesh consists of a gelatinous, lime-green or yellow substance that houses a multitude of edible seeds. Though kiwano melon isn’t a fruit you’re likely to find in an average fruit basket, including it in your diet may be good for your health.",https://drive.google.com/file/d/1VIGLtLnWrrPfndaH4F3JrFF5jpdq6q-A/view?usp=sharing,https://drive.google.com/file/d/1UkMFQSt5u244Oj29Jk6w8knFYe3eKjpP/view?usp=sharing
20,Kumquat,Fruit,80 per week,7,15,Acorn Disease,Loamy soil,Diluted liquid fertilizer,80 sq ft,"A kumquat is an edible, orange-like fruit that is native to Southeast Asia. Though the citrus fruit resembles an orange in shape and color, it’s actually quite small—about the size of an olive. Typically, kumquats are round or oblong. Kumquat fruits may be eaten fresh, or they may be preserved and made into jams and jellies.",https://drive.google.com/file/d/1JSW0Sve-kntRYFV8SIiaPH9uXhcGv5b8/view?usp=sharing,https://drive.google.com/file/d/1kk0YJA2j3zCvslABh2SB8bdwCE9QscBU/view?usp=sharing
21,Lime,Fruit,60 to 65 per week,30,35,Citrus Canker,Silty soil,Commercial chemical fertilizer,81 sq ft,"Lime, any of several species and hybrids of trees and shrubs in the rue family, widely grown in tropical and subtropical areas for their edible acidic fruits. The lime fruit is a key ingredient in certain pickles and chutneys, and lime juice is used to flavour drinks, food, and confections.",https://drive.google.com/file/d/1hXe4iLuVPJZ0T22qwHyOibHTOoXAijbE/view?usp=sharing,https://drive.google.com/file/d/1YIBRYYPILP5gRatICdLyJVqWfG5sKgOG/view?usp=sharing
22,Lychee,Fruit,40 per week,20,30,Erinose Mite,"Sandy soil, Loamy soil","Nitrogen, Phosporous, Potash, Magnesium",100 sq ft,"Lychee, also spelled litchi or lichi, evergreen tree of the soapberry family, grown for its edible fruit. The fruit is usually eaten fresh but can also be canned or dried. The flavour of the fresh pulp is aromatic and musky, and the dried pulp is acidic and very sweet.",https://drive.google.com/file/d/1dgPRtt-S5yKS-9dSn6op_9qx18JIiAB5/view?usp=sharing,https://drive.google.com/file/d/1E5tN4sg65Ivag0iV86eX_yYoQHSFHw_s/view?usp=sharing
23,Loquat,Fruit,100 per week,10,15,"Cankers, Crown Rot, Collar Rot",Loamy soil,Nitrogen,120 sq ft,"Loquat is a subtropical fruit tree native to China.  Loquat fruit is delicious, with an attractive yellow color, flavor, and high economic and medicinal value. Loquat extracts contain antioxidants that exhibit bioactivities that counteract inflammation, cough, diabetes, cancer, and other health issues.",https://drive.google.com/file/d/1IzjCzjjylDRLwfjWPTFPIyGGWnt9D5Xu/view?usp=sharing,https://drive.google.com/file/d/1hU3OrDVPbwAY3T9E628j_mq4vSb0whYe/view?usp=sharing
24,Mango,Fruit,60 per week,24,27,Powder Mildew,"Sandy soil, Loamy soil","FYM 25 kg/tree, N 500 g and 1 kg",225 sq ft,"Mango is native to India and Southeast Asia, and people have cultivated it for over 4,000 years. Hundreds of types of mango exist, each with its own characteristic taste, shape, size, and color. This fruit is not only delicious but also boasts an impressive nutritional profile. In fact, studies link mango and its nutrients to several health benefits, such as improved immunity and digestive health.",https://drive.google.com/file/d/1XuFYodUoiaLe1VpVib5os00xJS7DFPp4/view?usp=sharing,https://drive.google.com/file/d/1g15konwdjhFkNYgZ-EfQ-LAv8ldsyMTQ/view?usp=sharing
25,Palm Fruit,Fruit,35 to 45 per week,28,30,Leaf Spots,Loamy soil,Milogranite,49 sq ft,"Palm fruit, African tree in the palm family , cultivated as a source of oil. The oil palm is grown extensively in its native West and Central Africa, as well as in Malaysia and Indonesia. Palm oil, obtained from the fruits, is used in making soaps, cosmetics, candles, etc. The cake residue after kernel oil is extracted is a cattle feed.",https://drive.google.com/file/d/17yeWrn0cH8-lSuOp-QlF_wt-74mJyywu/view?usp=sharing,https://drive.google.com/file/d/1QB5EkxPzKW4yB9Jt_qx7AffyLqEMwkhm/view?usp=sharing
26,Raspberry,Fruit,48 per week,25,35,Cane Blight,Clay soil,High quality organic fertilizer,15 sq ft,"Raspberries are an economically significant crop throughout much of northern Europe, as well as in the United States and Canada. Raspberry fruits contain iron, vitamin C, and antioxidants and are usually eaten fresh, often ice cream, as a dessert fruit. Jams and jellies are also popular, and the fruit is commonly used as a pastry filling and as a flavouring for certain liqueurs.",https://drive.google.com/file/d/11uhz-UaKAEGI85E3OzWLnbZyID_7YiCL/view?usp=sharing,https://drive.google.com/file/d/1AWSE5dihD861S2mZ9u5XN43RmajXZam-/view?usp=sharing
27,Strawberry,Fruit,32 per week,15,30,Anthracnose,"Sandy soil, Loamy soil",Boron,3 sq ft,"Strawberries are the first fruit to ripen each spring. Strawberries are the only fruit that wear their seeds on the outside. Despite their name, strawberries aren’t technically berries – they’re accessory fruits. The seeds can grow into new strawberry plants, but most instead reproduce through runners.",https://drive.google.com/file/d/1SOPe2FuygGT5OgKUkq-0TM-X20TWa8eH/view?usp=sharing,https://drive.google.com/file/d/11f-1lkpnPg9hNjZy04Uli2hhylVVPZ5t/view?usp=sharing
28,Tangerine,Fruit,68 per week,10,35,Brown Spot,Loamy soil,Ammonium sulfate,150 sq ft,"Tangerine is a citrus fruit that grows in tropical areas of Asia and is widely cultivated in the United States. People take tangerine peel by mouth for asthma, indigestion, cancer prevention, and many other purposes, but there is no good scientific evidence to support these uses. Tangerine fruit and peel can be eaten as a food. Tangerine fruit can also be made into a juice.",https://drive.google.com/file/d/1fTtWcsLmrudbip8H5qLxW-iIwttMIU4H/view?usp=sharing,https://drive.google.com/file/d/1sRG4ty8G48IX91tXVy0iHyqE4nFll11t/view?usp=sharing
29,Watermelon,Fruit,30 to 70 per week,20,35,Pests,"Sandy soil, Loamy soil",Nitrogen,45 sq ft,"Watermelon is a deliciously healthy fruit, soaked with nutrients, low in calories and is free of fat. When eaten in reasonable amounts watermelon is good for you and provides many health benefits. You can eat all parts of the watermelon including the rind and seeds. A watermelon is approximately 92% water. Each juicy bite has significant levels of vitamin A, vitamin B6 and vitamin C.",https://drive.google.com/file/d/1bBzG8G5CsrSEoPThL8zW0X1zdVcMTxZ4/view?usp=sharing,https://drive.google.com/file/d/1krFVccvyWoEVnoH5KtEf2_Qa2-LWz6cJ/view?usp=sharing
30,Sugarcane,Fruit,60 per week,16,24,Red Rot,Sandy soil,Nitrogen,52 sq ft,"Sugarcane is a water-intensive crop that remains in the soil all year long. A vast global market for sugarcane derivatives keeps the industry booming. Sugar is prevalent in the modern diet and increasingly a source of biofuels and bioplastics. As prices of petroleum rise, there is a growing market for ethanol from sugarcane.",https://drive.google.com/file/d/1RWtbt4p7WqTm2pP7_Rhaye3D7EDe6WtS/view?usp=sharing,https://drive.google.com/file/d/1zoQMeFOBuvHtJMWTIGPDeTpLo8_w7rPL/view?usp=sharing
31,Olive,Fruit,50 per week,15,20,Xylella,Loamy soil,Nitrogen,80 sq ft,"Olive is a tree with edible fruit, leaves, and seeds. Olive oil comes from the olive fruit and contains monounsaturated fatty acids. Fatty acids in olive oil seem to decrease cholesterol levels and have anti-inflammatory effects. Olive leaf and olive oil might lower blood pressure. Olive might also be able to kill microbes, such as bacteria and fungus. Olive oil is commonly used in foods. As medicine, people most commonly use olive oil for heart disease, diabetes, and high blood pressure.",https://drive.google.com/file/d/102Jur5aSU-u6r8bxrVC_90GDIfp_0qoa/view?usp=sharing,https://drive.google.com/file/d/1idc5YDb78MAK12lizzv7nLIVU018xlCl/view?usp=sharing
32,Melon,Fruit,118 per week,20,30,Pests,"Sandy soil, Loamy soil",Nitrogen,9 sq ft,"Melons are rounded or elongate, of yellow or green rind, sometimes combined depending on the  variety. It has an aromatic, juicy and sweet flesh, being an ideal fruit to fight thirst. The pulp is aromatic, juicy and sweet, of white or greenish white, yellow and orange colour. Inside it we find multiple yellow-rind pips.",https://drive.google.com/file/d/1jrQi05DE1lKsRrMkRPs_xvoxbMQe1wia/view?usp=sharing,https://drive.google.com/file/d/1gzwAYeax2hLpCLTCt7At0qXieBgEy6vY/view?usp=sharing
33,Pear,Fruit,90 per week,5,10,Pear Scab,Clay soil,Balanced 13-13-13 fertilizers,65 sq ft,"The pear is a fruit that has expanded all over the world; it is consumed both fresh as cooked, and that is available all throughout the year. There are multiple varieties cultivated, ranging in shape, size and colour. The pear has several medicinal properties thanks to its content in water and fiber; it is also rich in vitamins and minerals. It is suitable for purifying the organism and to clean the intestine.",https://drive.google.com/file/d/1UMWElYOQUe053ohpz0UEN_nH-uilp7S7/view?usp=sharing,https://drive.google.com/file/d/1_QbEOoXCMJy8LloXH0mNpWeOg4sJKLn1/view?usp=sharing
34,Orange,Fruit,63 per week,7,37,Citrus Black Spot,Loamy soil,Phosphate fertilizers,90 sq ft,"Oranges are a type of low calorie, highly nutritious citrus fruit. As part of a healthful and varied diet, oranges contribute to strong, clear skin and can help lower a person’s risk of many conditions. Oranges are popular due to their natural sweetness, the many different types available, and the diversity of uses.",https://drive.google.com/file/d/1OleeCOFEuENy8w1cAaeA6wSJTpboFZ0j/view?usp=sharing,https://drive.google.com/file/d/1wM-erS7hExKJRFw9OPJbjHI7pLrJsZWW/view?usp=sharing
35,Papaya,Fruit,20 to 25 per week,20,35,Anthracnose,"Sandy soil, Loamy soil",14-14-14 fertilizers,30 sq ft,"Papaya is a tropical tree. Its ripe fruit is considered safe, but unripe papaya fruit contains papain and can damage the esophagus. Papaya also contains a chemical called carpain, which seems to be able to kill certain parasites. The papaya fruit is a good source of ascorbic acid and carotenoids, two important nutrients for people in the subtropical and tropical regions.",https://drive.google.com/file/d/1hQiReOvi1Vd27s2PAA6N9DVSw2uKHn6y/view?usp=sharing,https://drive.google.com/file/d/1qy2oBzXMmd8R8Y9nogLm1ZRm6GOGZoQT/view?usp=sharing
36,Plum,Fruit,160 per week,0,5,Bacterial Canker,"Sandy soil, Loamy soil",Ammonium nitrate,100 sq ft,"A plum is a flowering fruit tree, and it's also the name of the fruit that grows on it. Plums are small, dark reddish purple, and sweet. Plums have an edible, smooth skin, juicy flesh, and a hard pit in the middle. When plums are dried, they're called prunes.",https://drive.google.com/file/d/1DdB8k5CG2FHW4E3-v_FpDWs2WwiNolnK/view?usp=sharing,https://drive.google.com/file/d/1BhilEgwERIp3fD5o3wXvVUcBNkV1Xa7W/view?usp=sharing
37,Peach,Fruit,105 to 120 per week,5,15,Brown Rot,"Sandy soil, Loamy soil","Nitrogen, Phosporous, Potassium",68 sq ft,"The peach is a round, coloured, juicy fruit, typically eaten in summer. Many countries produce peaches, reason why we can eat this fruit all throughout the year. It is used for consumption in fresh and for industry, specially tinned. The peach contributes with modest amounts of vitamin C and provitamin A. Nevertheless, it has a great amount of potassium, phosphorus and vitamin B.",https://drive.google.com/file/d/1trSRLY7XjNVhh2QhtNSK8K2goptttgkj/view?usp=sharing,https://drive.google.com/file/d/1fcg6QQ0Nusll74m5GpLkaUruEcqmlrJQ/view?usp=sharing
